assistance,proportion,category
yes,0.07594937,K1070
yes,0.09113924,K1071
yes,0.1172996,K1072
yes,0.1983122,K1073
yes,0.1890295,K1074
yes,0.09113924,K1075
yes,0.1206751,K1076
yes,0.04894515,K1077
yes,0.06751055,K1078
no,0.1213355,K1070
no,0.09079805,K1071
no,0.0985342,K1072
no,0.1791531,K1073
no,0.1934039,K1074
no,0.05496743,K1075
no,0.1408795,K1076
no,0.0529316,K1077
no,0.06799674,K1078
